"SortID","SpeciesID","SCAMIT_ID","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Subgenus","species","Describer","red","bold","non_standard_italic","AuthorRed","SubgenusRed"
750.00,1.00,7.00,"SILICEA","","Hexactinellida","Hexasterophora","","","Hexactinosa","Scopularia","","","Aphrocallistidae","","Aphrocallistes",,"vastus","Schulze 1887",0,0,0,0,0
1050.00,2.00,11.00,"SILICEA","","Hexactinellida","Hexasterophora","","","Lyssacinosa","","","","Rossellidae","","Rhabdocalyptus",,"dawsoni","(Lambe 1892)",0,0,0,0,0
1150.00,3.00,13.00,"SILICEA","","Hexactinellida","Hexasterophora","","","Lyssacinosa","","","","Rossellidae","","Staurocalyptus",,"solidus","Schulze 1899",0,0,0,0,0
1650.00,4.00,18.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Spirophorida","","","","Tetillidae","","Craniella",,"arb","(de Laubenfels 1930)",1,0,0,0,0
1950.00,5.00,22.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Astrophorida","","","","Anchorinidae","","Stelletta",,"clarella","de Laubenfels 1930",0,0,0,0,0
2150.00,6.00,25.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Astrophorida","","","","Geodiidae","","Geodia",,"mesotriena","von Ledenfeld 1910",0,0,0,0,0
2350.00,7.00,27.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Astrophorida","","","","Pachastrellidae","","Poecillastra",,"tenuilaminaris","(Sollas 1886)",0,0,0,0,0
2450.00,8.00,29.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Astrophorida","","","","Pachastrellidae","","Sphincturella",,"sp A","Green & Bakus 1994",0,0,1,0,0
2750.00,9.00,32.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Hadromerida","","","","Spirastrellidae","","Spheciospongia",,"confoederata","de Laubenfels 1930",0,0,0,0,0
2950.00,10.00,34.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Hadromerida","","","","Suberitidae","","Suberites",,"suberia","(Montagu 1818)",0,0,0,1,0
3150.00,11.00,38.00,"SILICEA","","Demospongiae","Tetractinomorpha","","","Hadromerida","","","","Tethyidae","","Tethya",,"californiana","de Laubenfels 1932",1,0,0,0,0
3750.00,12.00,46.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Microcionina","","","Microcionidae","Microcioninae","Clathria","(Microciona)","parthena","(de Laubenfels 1930)",0,0,0,0,1
3950.00,13.00,49.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Microcionina","","","Microcionidae","Ophlitaspongiinae","Antho","(Acarnia)","karykina","(de Laubenfels 1927)",0,0,0,0,1
4250.00,14.00,53.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Microcionina","","","Raspailiidae","Raspailiinae","Endectyon","(Hemectyon)","hyle","(de Laubenfels 1932)",0,0,0,0,1
4450.00,15.00,56.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Microcionina","","","Raspailiidae","Cyamoninae","Cyamon",,"neon","J. E. Gray 1867",0,0,0,0,0
4550.00,16.00,57.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Microcionina","","","Raspailiidae","Cyamoninae","Trikentrion",,"flabelliformis","Hentschel 1912",0,0,0,0,0
4850.00,17.00,60.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Myxillina","","","Myxillidae","","Myxilla",,"incrustans","(Esper 1805-1814)",0,0,0,0,0
5150.00,18.00,68.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Mycalina","","","Mycalidae","","Mycale",,"psila","(de Laubenfels 1930)",0,0,0,0,0
5450.00,19.00,72.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida",,"","","Axinellidae","","Axinella",,"sp",,0,0,1,0,0
5850.00,20.00,76.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","Haliclona",,"sp",,0,0,1,0,0
6150.00,21.00,79.00,"SILICEA","","Demospongiae","Ceractinomorpha","","","Dictyoceratida",,"","","Dysideidae","","Dysidea",,"amblia","(de Laubenfels 1930)",0,0,0,0,0
6750.00,22.00,86.00,"CALCAREA","","Calcerea","Calcinea","","","Clathrinida","","","","Clathrinidae","","Clathrina",,"sp",,0,0,1,0,0
7150.00,23.00,90.00,"CALCAREA","","Calcerea","Calcaronea","","","Leucosoleniida","","","","Leucosoleniidae","","Leucosolenia",,"sp",,0,0,1,0,0
7450.00,24.00,93.00,"CALCAREA","","Calcerea","Calcaronea","","","Scycettida","","","","Grantiidae","","Leucandra",,"heathi","Urban 1905",0,0,0,0,0
7650.00,25.00,96.00,"CALCAREA","","Calcerea","Calcaronea","","","Scycettida","","","","Amphoriscidae","","Leucilla",,"nuttingi","(Urban 1902)",0,0,0,0,0
8325.00,26.00,104.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corymorphidae","","Corymorpha",,"bigelowi","(Maas 1905)",0,0,0,0,0
8350.00,27.00,108.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corymorphidae","","Corymorpha",,"palma","Torrey 1902",0,0,0,0,0
8375.00,28.00,109.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corymorphidae","","Corymorpha",,"sp A","Ljubenkov 1997 §",0,0,1,0,0
8650.00,29.00,110.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corymorphidae","","Corymorphidae",,"sp SD1","Pasko 1999 §",0,0,1,0,0
8750.00,30.00,111.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corymorphidae","","Euphysa",,"sp A","Hochberg & Ljubenkov 1998",0,0,1,0,0
8950.00,31.00,114.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Tubulariidae","","Pinanay",,"crocea","(L. Agassiz 1862)",1,0,0,0,0
9050.00,32.00,117.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Tubulariidae","","Tubularia",,"sp A","Ljubenkov 1993 §",1,0,1,0,0
9250.00,33.00,119.00,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Corynidae","","Coryne",,"eximia","Allman 1859",1,0,0,0,0
