SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200001,659,2258,Nuculana,elenensis,(G. B. Sowerby I in Broderip & Sowerby 1833),06/12/2008 00:00,,112550,1,1,1
200008,1,8,Aphrocallistes,whiteavesianus,Lambe 1892,,,750,0,0,0
200012,2,12,Bathydorus,dawsoni,Lambe 1892,,,1050,0,0,0
200019,4,19,Tetilla,arb,de Laubenfels 1930,,,1650,0,0,0
200023,5,23,Stelletta,estrella,de Laubenfels 1930,,,1950,1,1,1
200028,7,28,Normania,tenuilaminaris,Sollas 1886,,,2350,0,0,0
200035,10,35,Spongia,suberia,Montagu 1818,,,2950,1,1,1
200036,10,36,Suberites,ficus,of authors NEP in part not (Johnston 1842),,,2950,0,0,0
200039,11,39,Tethya,aurantia var californiana,de Laubenfels 1932,,,3150,0,0,0
200040,11,40,Tethya,aurantia,of authors NEP not (Pallis 1766),,,3150,1,1,1
200047,12,47,Microciona,parthena,de Laubenfels 1930,,,3750,1,1,1
200050,13,50,Plocamia,karykina,de Laubenfels 1927,,,3950,1,1,1
200054,14,54,Hemectyon,hyle,de Laubenfels 1932,,,4250,1,1,1
200061,17,61,Alcyonium,incrustans,Esper 1805-1814,,,4850,0,0,0
200062,17,62,Halichondria,incrustans,of Johnston 1842,,,4850,0,0,0
200063,17,63,Myxilla,barentsi,Lambe 1895,,,4850,0,0,0
200064,17,64,Myxilla,behringensis,Lambe 1895,,,4850,0,0,0
200065,17,65,Myxilla,rosacea,Lambe 1893,,,4850,0,0,0
200069,18,69,Paresperella,psila,de Laubenfels 1930,,,5150,0,0,0
200080,21,80,Duseideia,amblia,de Laubenfels 1930,,,6150,0,0,0
200094,24,94,Leuconia,heathi,of de Laubenfels 1930,,,7450,0,0,0
200097,25,97,Rhabdodermella,nuttingi,Urban 1902,,,7650,0,0,0
200105,26,105,Euphysora,bigelowi,Maas 1905,,,8325,0,0,0
200106,26,106,Euphysa,bigelowi,of Uchida 1927,,,8325,0,0,0
200107,26,107,Steenstrupia,bigelowi,of Mayer 1910,,,8325,0,0,0
200112,30,112,Corymorpha,aurata,of Fauchald & Jones 1976 not (Forbes 1848),,,8750,0,0,0
200115,31,115,Parypha,crocea,L. Agassiz 1862,,,8950,0,0,0
200116,31,116,Tubularia,crocea,of authors NEP,,,8950,1,1,1
200120,33,120,Syncoryne,eximia,of authors NEP,,,9250,1,1,1
200127,36,127,Perigonimus,sp A,Ljubenkov 1976,,,9850,1,1,1
200129,37,129,Perigonimus,formosus,Fewkes 1889,,,9950,0,0,0
200130,37,130,Bimeria,formosa,of Torrey 1902,,,9950,0,0,0
200131,37,131,Garveia,formosa,of Fraser 1948,,,9950,0,0,0
200132,37,132,Perigonimus,serpens Cmplx,of SCAMIT Ed. 4 in part,,,9950,1,1,1
200135,38,135,Perigonimus,yoldiarcticae,of authors NEP not Birula 1897,,,10150,1,1,1
200137,39,137,Geryonia,octona,Fleming 1823,,,10250,1,1,1
200138,39,138,Perigonimus,jonesi,Osborn & Hargitt 1894,,,10250,1,1,1
200139,39,139,Perigonimus,serpens Cmplx,of SCAMIT Ed. 4 in part,,,10250,1,1,1
200142,40,142,Tubularia,ramea,Pallas 1766,,,10450,1,1,1
200148,43,148,Monobrachium,parasiticum,Bonnevie 1899,,,10950,0,0,0
200153,44,153,Sertularia,volubilis,Linnaeus 1758,,,11350,0,0,0
