station_id,stratum,stratum2,Latitude,Longitude
0,Special-QAQC,,NULL,NULL
3001,Special-EMAP,San Pedro Shelf,33.36157,-118.30707
4000,Mid-shelf (30-120 m),South San Diego Shelf,32.55081,-117.19931
4001,Lower slope and basin (500-1000 m),Orange Shelf,33.3175,-118.16009
4002,LA Estuaries,San Gabriel River Estuary,33.75502,-118.10254
4003,Small POTW Outfalls,Hueneme to Dume,34.12507,-119.19268
4004,Outer shelf (120-200 m),South San Diego Shelf,32.66321,-117.34123
4005,Lower slope and basin (500-1000 m),Hueneme to Dume,33.93408,-118.89655
4006,Mid-shelf (30-120 m),Santa Monica Bay,33.86038,-118.44805
4007,Upper slope (200-500 m),West Santa Barbara Channel,34.36268,-120.01034
4008,Estuaries,Santa Margarita River Estuary,33.22882,-117.41244
4009,Lower slope and basin (500-1000 m),Orange Shelf,33.46418,-117.91914
4010,Marinas,Los Angeles Harbor,33.7668,-118.24909
4011,Channel Islands (5-200 m),Island Shelves,33.99383,-119.48998
4012,Large POTW Outfalls,South San Diego Shelf,32.6948,-117.30227
4013,LA Estuaries,Ballona Creek Estuary,33.98135,-118.4244
4014,LA Estuaries,Dominguez Channel,33.82395,-118.2423
4015,Mid-shelf (30-120 m),East Santa Barbara Channel,34.33381,-119.74172
4016,Marinas,North San Diego Shelf,33.21616,-117.40086
4017,Estuaries,Upper Newport Bay,33.64585,-117.88895
4018,Marinas,Alamitos Bay,33.75536,-118.12987
4019,Mid-shelf (30-120 m),East Santa Barbara Channel,34.23101,-119.5122
4020,Ports/Bays/Harbors,Mission Bay,32.76749,-117.2416
4021,Mid-shelf (30-120 m),Santa Monica Bay,33.92867,-118.48282
4022,Large POTW Outfalls,Santa Monica Bay,33.87377,-118.51654
4023,Outer shelf (120-200 m),East Santa Barbara Channel,34.30784,-119.71267
4024,Small POTW Outfalls,North San Diego Shelf,33.11935,-117.36062
4025,Lower slope and basin (500-1000 m),Hueneme to Dume,33.73889,-119.0648
4026,Mid-shelf (30-120 m),San Pedro Shelf,33.62105,-118.19507
4027,Channel Islands (5-200 m),Island Shelves,34.1156,-119.93616
4028,Ports/Bays/Harbors,San Diego Bay,32.67537,-117.14385
4029,Channel Islands (5-200 m),Island Shelves,34.03417,-119.3516
4030,Small POTW Outfalls,Orange Shelf,33.51182,-117.77133
4031,Channel Islands (5-200 m),Island Shelves,34.05002,-120.42722
4032,Estuaries,San Elijo Lagoon,33.00918,-117.27651
4033,Estuaries,San Diego River Estuary,32.75785,-117.22741
4034,LA Estuaries,San Gabriel River Estuary,33.74723,-118.11445
4035,Mid-shelf (30-120 m),East Santa Barbara Channel,34.28359,-119.50714
4036,Mid-shelf (30-120 m),South San Diego Shelf,32.79645,-117.30499
4037,Mid-shelf (30-120 m),Santa Monica Bay,33.99816,-118.70954
4038,Large POTW Outfalls,Santa Monica Bay,33.76682,-118.46048
4039,Upper slope (200-500 m),West Santa Barbara Channel,34.28711,-120.45557
4040,Small POTW Outfalls,North San Diego Shelf,33.15278,-117.38742
4041,Large POTW Outfalls,San Pedro Shelf,33.56737,-117.98962
4042,Large POTW Outfalls,Palos Verdes Shelf,33.69541,-118.29616
4043,Inner shelf (5-30 m),East Santa Barbara Channel,34.28399,-119.35491
4044,Ports/Bays/Harbors,San Diego Bay,32.68689,-117.23473
4045,Large POTW Outfalls,Santa Monica Bay,33.93486,-118.53976
4046,LA Estuaries,Los Angeles River Estuary,33.79808,-118.20677
4047,Small POTW Outfalls,East Santa Barbara Channel,34.39548,-119.66218
4048,Mid-shelf (30-120 m),North San Diego Shelf,33.08807,-117.35098
4049,Estuaries,Agua Hedionda Lagoon,33.13922,-117.33776
4050,Ports/Bays/Harbors,Los Angeles Harbor,33.72416,-118.26216
4051,Channel Islands (5-200 m),Island Shelves,34.0754,-119.74853
4052,Marinas,San Diego Bay,32.62322,-117.13415
4053,LA Estuaries,Ballona Creek Estuary,33.97134,-118.43959
4054,LA Estuaries,Los Alamitos Estuary,33.7817,-118.10427
4055,Small POTW Outfalls,East Santa Barbara Channel,34.40395,-119.81211
4056,Channel Islands (5-200 m),Island Shelves,33.4802,-119.05104
4057,Outer shelf (120-200 m),Santa Monica Bay,33.97774,-118.62712
4058,Inner shelf (5-30 m),San Pedro Shelf,33.643,-118.07835
4059,Outer shelf (120-200 m),West Santa Barbara Channel,34.38695,-119.98782
4060,Lower slope and basin (500-1000 m),North San Diego Shelf,33.03242,-117.66924
4061,Inner shelf (5-30 m),Hueneme to Dume,34.10112,-119.15082
4062,Small POTW Outfalls,North San Diego Shelf,33.43071,-117.67675
4063,Channel Islands (5-200 m),Island Shelves,33.9483,-120.24524
4064,Small POTW Outfalls,North San Diego Shelf,33.00613,-117.29666
4065,Marinas,Newport Bay,33.6094,-117.90476
4066,LA Estuaries,San Gabriel River Estuary,33.74202,-118.11713
4067,Outer shelf (120-200 m),East Santa Barbara Channel,34.23016,-119.68744
4068,Outer shelf (120-200 m),South San Diego Shelf,32.58567,-117.3411
4069,Inner shelf (5-30 m),Hueneme to Dume,34.03663,-118.91685
4070,Large POTW Outfalls,Santa Monica Bay,33.75853,-118.44631
4071,Upper slope (200-500 m),West Santa Barbara Channel,34.34424,-120.36861
4072,Estuaries,Santa Ana River Estuary,33.63664,-117.95407
4073,Large POTW Outfalls,San Pedro Shelf,33.59768,-118.04613
4074,Lower slope and basin (500-1000 m),San Pedro Shelf,33.57929,-118.32888
4075,Estuaries,Upper Newport Bay,33.64658,-117.8834
4076,Marinas,San Diego Bay,32.7181,-117.23046
4077,Large POTW Outfalls,Santa Monica Bay,33.92197,-118.52053
4078,LA Estuaries,Los Angeles River Estuary,33.78613,-118.20667
4079,Mid-shelf (30-120 m),East Santa Barbara Channel,34.38357,-119.59577
4080,Mid-shelf (30-120 m),North San Diego Shelf,33.26553,-117.53393
4081,Estuaries,Mugu Lagoon,34.10068,-119.11877
4082,LA Estuaries,Los Angeles River Estuary,33.77575,-118.20641
4083,Upper slope (200-500 m),East Santa Barbara Channel,34.11821,-119.62891
4084,Ports/Bays/Harbors,San Diego Bay,32.66033,-117.12292
4085,Marinas,Marina del Rey,33.9643,-118.45345
4086,Mid-shelf (30-120 m),Santa Monica Bay,33.83546,-118.46982
4087,Estuaries,Agua Hedionda Lagoon,33.13944,-117.31866
4088,Upper slope (200-500 m),North San Diego Shelf,33.09375,-117.41715
4089,Mid-shelf (30-120 m),Santa Monica Bay,33.84796,-118.56788
4090,Inner shelf (5-30 m),San Pedro Shelf,33.65956,-118.13065
4091,Upper slope (200-500 m),West Santa Barbara Channel,34.14379,-120.17822
4092,Ports/Bays/Harbors,San Diego Bay,32.72427,-117.18276
4093,Outer shelf (120-200 m),Hueneme to Dume,34.0666,-119.1344
4094,Small POTW Outfalls,North San Diego Shelf,33.43967,-117.69386
4096,Mid-shelf (30-120 m),North San Diego Shelf,33.26991,-117.56485
4097,Marinas,Newport Bay,33.61521,-117.90282
4098,Ports/Bays/Harbors,Long Beach Harbor,33.7442,-118.16867
4099,Mid-shelf (30-120 m),East Santa Barbara Channel,34.30636,-119.55858
4100,Lower slope and basin (500-1000 m),North San Diego Shelf,32.9318,-117.39483
4101,Mid-shelf (30-120 m),Santa Monica Bay,33.99826,-118.55925
4102,Large POTW Outfalls,Palos Verdes Shelf,33.72076,-118.36463
4103,Outer shelf (120-200 m),East Santa Barbara Channel,34.23279,-119.70681
4104,Estuaries,Upper Newport Bay,33.63333,-117.88773
4105,Lower slope and basin (500-1000 m),North San Diego Shelf,33.31529,-117.91264
4106,Lower slope and basin (500-1000 m),San Pedro Shelf,33.63784,-118.30275
4107,Channel Islands (5-200 m),Island Shelves,34.05235,-120.07482
4108,Ports/Bays/Harbors,San Diego Bay,32.71598,-117.17404
4109,Large POTW Outfalls,Santa Monica Bay,33.95864,-118.51976
4110,Outer shelf (120-200 m),Orange Shelf,33.46444,-117.76246
4111,Outer shelf (120-200 m),West Santa Barbara Channel,34.39469,-120.33147
4112,Estuaries,Upper Newport Bay,33.64644,-117.87649
4113,Mid-shelf (30-120 m),San Pedro Shelf,33.59036,-117.97115
4114,Ports/Bays/Harbors,Los Angeles Harbor,33.70423,-118.268
4115,Channel Islands (5-200 m),Island Shelves,34.07896,-119.70119
4116,Ports/Bays/Harbors,San Diego Bay,32.65828,-117.14434
4117,Marinas,Marina del Rey,33.98225,-118.44393
