"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
750,1,7,SILICEA,,Hexactinellida,Hexasterophora,,,Hexactinosa,Scopularia,,,Aphrocallistidae,,Aphrocallistes,,vastus,Schulze 1887,0,0,0,0,0
1050,2,11,SILICEA,,Hexactinellida,Hexasterophora,,,Lyssacinosa,,,,Rossellidae,,Rhabdocalyptus,,dawsoni,(Lambe 1892),0,0,0,0,0
1150,3,13,SILICEA,,Hexactinellida,Hexasterophora,,,Lyssacinosa,,,,Rossellidae,,Staurocalyptus,,solidus,Schulze 1899,0,0,0,0,0
1650,4,18,SILICEA,,Demospongiae,Tetractinomorpha,,,Spirophorida,,,,Tetillidae,,Craniella,,arb,(de Laubenfels 1930),1,0,0,0,0
1950,5,22,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Anchorinidae,,Stelletta,,clarella,de Laubenfels 1930,0,0,0,0,0
2150,6,25,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Geodiidae,,Geodia,,mesotriena,von Ledenfeld 1910,0,0,0,0,0
2350,7,27,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Pachastrellidae,,Poecillastra,,tenuilaminaris,(Sollas 1886),0,0,0,0,0
2450,8,29,SILICEA,,Demospongiae,Tetractinomorpha,,,Astrophorida,,,,Pachastrellidae,,Sphincturella,,sp A,Green & Bakus 1994,0,0,1,0,0
2750,9,32,SILICEA,,Demospongiae,Tetractinomorpha,,,Hadromerida,,,,Spirastrellidae,,Spheciospongia,,confoederata,de Laubenfels 1930,0,0,0,0,0
2950,10,34,SILICEA,,Demospongiae,Tetractinomorpha,,,Hadromerida,,,,Suberitidae,,Suberites,,suberia,(Montagu 1818),0,0,0,1,0
3150,11,38,SILICEA,,Demospongiae,Tetractinomorpha,,,Hadromerida,,,,Tethyidae,,Tethya,,californiana,de Laubenfels 1932,1,0,0,0,0
3750,12,46,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Microcionidae,Microcioninae,Clathria,(Microciona),parthena,(de Laubenfels 1930),0,0,0,0,1
3950,13,49,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Microcionidae,Ophlitaspongiinae,Antho,(Acarnia),karykina,(de Laubenfels 1927),0,0,0,0,1
4250,14,53,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Raspailiidae,Raspailiinae,Endectyon,(Hemectyon),hyle,(de Laubenfels 1932),0,0,0,0,1
4450,15,56,SILICEA,,Demospongiae,Ceractinomorpha,,,Poecilosclerida,Microcionina,,,Raspailiidae,Cyamoninae,Cyamon,,neon,J. E. Gray 1867,0,0,0,0,0
